127.0.0.1 - - [06/Oct/2022:09:19:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:19:35 +0900] "GET /Cafe/order.jsp HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:19:35 +0900] "GET /Cafe/check1.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:19:53 +0900] "GET /Cafe/order.jsp?custno=%E3%85%87%E3%85%81%E3%84%B4%E3%85%87&custname=%E3%84%B9%E3%85%87%E3%84%B4%E3%84%B9&menuno=2&orderdate=%E3%84%B9%E3%84%B4%E3%85%87%E3%84%B9 HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:19:53 +0900] "GET /Cafe/check1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:01 +0900] "GET /Cafe/order.jsp?custno=%E3%85%87%E3%85%81%E3%84%B4%E3%85%87&custname=%E3%84%B9%E3%85%87%E3%84%B4%E3%84%B9&menuno=2&orderdate=%E3%84%B9%E3%84%B4%E3%85%87%E3%84%B9 HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:01 +0900] "GET /Cafe/check1.js HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:10 +0900] "GET /Cafe/order.jsp?custno=%E3%84%B9%E3%85%87%E3%84%B4&custname=%E3%84%B4%E3%85%87%E3%84%B9&menuno=2&orderdate=%E3%84%B4%E3%85%87%E3%84%B9%E3%84%B4%E3%85%87%E3%84%B9 HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:10 +0900] "GET /Cafe/check1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:16 +0900] "GET /Cafe/order.jsp?custno=%E3%84%B9%E3%85%87%E3%84%B4%E3%85%87%E3%84%B9&custname=%E3%84%B4%E3%84%B9%E3%85%87%E3%84%B9&orderdate= HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [06/Oct/2022:09:22:16 +0900] "GET /Cafe/check1.js HTTP/1.1" 304 -
